Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites
k403,Ramicane,Male,21,16,45,22.05012627,1
s185,Capomulin,Female,3,17,45,23.34359787,1
m601,Capomulin,Male,22,17,45,28.43096411,1
x401,Capomulin,Female,16,15,45,28.48403281,0
g791,Ramicane,Male,11,16,45,29.12847181,1
s508,Ramicane,Male,1,17,45,30.27623175,0
m546,Ramicane,Male,18,16,45,30.56462509,1
z578,Ramicane,Male,11,16,45,30.63869575,0
u364,Capomulin,Male,18,17,45,31.02392294,3
n364,Ramicane,Male,4,17,45,31.09533505,1
j913,Ramicane,Female,4,17,45,31.56046955,1
y793,Capomulin,Male,17,17,45,31.8962384,2
r554,Capomulin,Female,8,17,45,32.37735684,3
a644,Ramicane,Female,7,17,45,32.97852192,1
m957,Capomulin,Female,3,19,45,33.32909778,1
c758,Ramicane,Male,9,17,45,33.39765251,1
i177,Ramicane,Male,10,18,45,33.56240217,3
t565,Capomulin,Female,20,17,45,34.45529799,0
w914,Capomulin,Male,24,21,45,36.04104736,2
j989,Ramicane,Male,8,19,45,36.13485243,1
i334,Ramicane,Female,8,20,45,36.37451039,2
g288,Capomulin,Male,3,19,45,37.07402422,1
r811,Ramicane,Male,9,19,45,37.22565033,1
d251,Ramicane,Female,8,19,45,37.31123552,2
i738,Capomulin,Female,23,20,45,37.31184577,2
j119,Capomulin,Female,7,23,45,38.1251644,1
a411,Ramicane,Male,3,22,45,38.4076183,1
a520,Ramicane,Male,13,21,45,38.81036633,1
l897,Capomulin,Male,17,19,45,38.84687569,1
b742,Capomulin,Male,7,21,45,38.93963263,0
b128,Capomulin,Female,9,22,45,38.98287774,2
g316,Capomulin,Female,22,22,45,40.1592203,2
v923,Capomulin,Female,19,21,45,40.65812366,2
e662,Ramicane,Male,8,24,45,40.65900627,2
u196,Ramicane,Male,18,25,45,40.66771292,3
s710,Capomulin,Female,1,23,45,40.72857787,1
l509,Capomulin,Male,17,21,45,41.48300765,3
r944,Capomulin,Male,12,25,45,41.58152074,2
a444,Ramicane,Female,10,25,45,43.0475426,0
q597,Ramicane,Male,20,25,45,45.22086888,2
i557,Capomulin,Female,1,24,45,47.68596303,1
o287,Ceftamin,Male,2,28,45,59.74190064,4
l661,Ceftamin,Male,18,26,45,59.85195552,3
f345,Infubinol,Male,23,26,45,60.91876652,1
x822,Ceftamin,Male,3,29,45,61.38666032,3
p438,Ceftamin,Female,11,26,45,61.43389223,1
j296,Ceftamin,Female,24,30,45,61.84902336,3
e476,Infubinol,Male,23,26,45,62.43540402,1
z581,Infubinol,Female,24,25,45,62.75445141,3
a275,Ceftamin,Female,20,28,45,62.99935619,3
l733,Ceftamin,Female,4,30,45,64.29983003,1
x581,Ceftamin,Female,19,28,45,64.63494887,3
y865,Ceftamin,Male,23,26,45,64.72983655,3
a251,Infubinol,Female,21,25,45,65.52574285,1
a685,Infubinol,Male,8,30,45,66.08306589,3
k483,Infubinol,Female,20,30,45,66.19691151,3
w151,Ceftamin,Male,24,25,45,67.52748237,3
y163,Infubinol,Female,17,27,45,67.68556862,3
l471,Ceftamin,Female,7,28,45,67.74866174,1
a203,Infubinol,Female,20,23,45,67.97341878,2
y769,Ceftamin,Female,6,27,45,68.59474498,4
k210,Ceftamin,Male,15,28,45,68.92318457,3
c139,Infubinol,Male,11,28,45,72.2267309,2
